1.000000000000000000e+00,8.303439803439803812e-01,8.041769041769041282e-01
1.000000000000000000e+01,8.533476658476658594e-01,8.095208845208845538e-01
5.000000000000000000e+01,8.532248157248156772e-01,8.079238329238329630e-01
1.000000000000000000e+02,8.531633906633906417e-01,8.063882063882064077e-01
5.000000000000000000e+02,8.531941031941031595e-01,8.069410319410319499e-01
1.000000000000000000e+03,8.534705159705159305e-01,8.103808353808353848e-01
2.000000000000000000e+03,8.531633906633906417e-01,8.066953316953316966e-01
4.000000000000000000e+03,8.531019656019656061e-01,8.062653562653562256e-01
7.000000000000000000e+03,8.530098280098280528e-01,8.062653562653562256e-01
1.000000000000000000e+04,8.531019656019656061e-01,8.066953316953316966e-01
1.000000000000000000e+05,8.530405405405405705e-01,8.065724815724816255e-01
1.000000000000000000e+06,8.531019656019656061e-01,8.065110565110564789e-01
